conditionCode,conditionName,applicable_gender,pediatric_assessment,presentingComplaint1,presentingComplaint2,presentingComplaint3,presentingComplaint4,presentingComplaint5,presentingComplaint6,presentingPart1,presentingPart2,presentingPart3,presentingPart4,presentingPart5,presentingPart6,assessmentQuery1,assessmentQuery2,assessmentQuery3,assessmentQuery4,assessmentQuery5,assessmentQuery6,assessmentQuery7,assessmentQuery8,source,auxilliaryQuery1,auxilliaryQuery2,auxilliaryQuery3,prevalence_DecisionWeight
C162,Meniere's disease,All,FALSE,Dizziness,Vertigo,Fullness in ear,Ringing in ear,Hearing loss,,ear,,,,,,Do you experience sudden episodes of dizziness or a spinning sensation (vertigo) that lasts for at least 20 minutes but less than 24 hours?,Have you noticed a feeling of pressure or fullness in one ear before or during these episodes of dizziness?,Do you sometimes have ringing or buzzing sounds (tinnitus) in your ear?,"Have you experienced any hearing loss, particularly in one ear, that seems to come and go with the episodes of dizziness?","Do you have episodes where your hearing seems to worsen before or during the times when you feel dizzy, but improves afterward?",,,,"Meniere disease - Symptoms, diagnosis and treatment | BMJ Best Practice US",,,,0.20%
C163,Meningioma,All,FALSE,Headache ,Seizure ,,,,,Brain,Spinal cord,Meninges,legs,,,Have your headaches been getting worse over time? ,Have you ever had a history of seizures? ,Have you noticed any weakness or numbness in your arms or legs? ,Have you had any trouble speaking or understanding speech? ,"Have you experienced difficulty with your vision, such as sudden loss or double vision? ",Have you had any issues with balance or coordination? ,Have you noticed any changes in your ability to move or control parts of your body? ,,https://bestpractice.bmj.com/topics/en-gb/730?q=Meningioma&c=suggested,Do you have a family history of brain tumours or menigiomas  ?, Do you have a history of breast cancer? ,Have you ever received radiation therapy to your head and neck? ,
C164,Meningococcal disease,All,FALSE,Headaches,Fever,Confusion,Vomiting,Stiff neck,Seizures,Head,,,,,,"Have you experienced a sudden, severe headache that is different from your usual headaches?",Do you have a fever that started around the same time as your headache?,"Do you have sensitivity to light, where bright lights make your headache or discomfort worse?",Have you had any recent episodes of vomiting without a clear cause?,"When lying flat, does bending your neck forward (chin to chest) cause intense pain or discomfort (neck stiffness)?",,,,"Meningococcal disease - Symptoms, diagnosis and treatment | BMJ Best Practice US",Have you had seizures or fits recently?,,,
C165,Meniscal tear,All,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
C166,Mesothelioma,All,FALSE,Difficulty breathing,persistant cough,chest pain,Weight loss,,,Chest,,,,,,Have you experienced shortness of breath or difficulty breathing recently?,Have you noticed a persistent cough that has lasted for weeks or longer?,Have you had any unexplained weight loss recently?,Do you feel chest pain or tightness in your chest?,"Did you work in industries like construction, shipbuilding, or mining where asbestos exposure is common, or were you regularly exposed to asbestos materials?",,,,"Mesothelioma - Symptoms, diagnosis and treatment | BMJ Best Practice US",Have you been diagnosed with pleural effusion (fluid around the lungs)?,Have you had a fever or night sweats without any clear cause?,,"1/10,00,000"
C167,Metabolic syndrome,All,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
C168,Migraine,All,FALSE,Headache,,,,,,Head,,,,,,Do you often experience headaches that last for several hours or even days?,"Does your headache feel like a throbbing or pulsing pain, usually on one side of your head?","When you have a headache, do you also feel nauseous or like you want to vomit?","Have you ever needed to lie down in a quiet, dark room to help manage the pain from your headaches?","Have you noticed that your headaches often begin after experiencing visual disturbances like zigzag patterns, flashing lights, or temporary vision loss (known as ""aura"")?",,,"Migraine headache in adults - Symptoms, diagnosis and treatment | BMJ Best Practice US",,,,,22%
C169,Miscarriage,Female,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
C170,Motion sickness,All,FALSE,Nausea while travelling,Dizziness in moving vehicle,,,,,Head,,,,,,"Do you feel nauseous or queasy when traveling in a car, bus, train, boat, or airplane?",Do you ever feel cold sweats or clamminess when in a moving vehicle?,Do you get headaches or feel tired during or after traveling in a vehicle?,Do your symptoms improve when you stop or get out of the moving vehicle?,,,,https://bestpractice.bmj.com/topics/en-gb/1034?q=Motion%20sickness&c=suggested,,"As a child, did you experience similar symptoms during travel?",,,20-30%
C171,Multiple sclerosis,All,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
C172,Mumps,All,FALSE,Fever,Swelling in cheeks,Pain bellow ears ,,,,Cheecks,Jaw,Testicles,,,,Have you recently had a fever that lasted a few days?,"Did your swelling start in front of your ears and extend to your jaw on both sides of your face, commonly known as parotid swelling?",Have you experienced difficulty chewing or swallowing due to the swelling?,Have you been in close contact with someone diagnosed with mumps in the last few weeks?,,,,https://bestpractice.bmj.com/topics/en-gb/1037,,Have you felt any pain in your testicles (for males) or lower abdomen (for females)?,,,"40-726/ 100,000"
C173,Muscle cramps,All,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
C174,Chronic fatigue syndrome,All,FALSE,Tiredness,Poor concentration,Bodyache,,,,Body,head,Joints,Muscle,,,"Do you often feel extremely tired or exhausted, even after getting enough rest or sleep?",Has your fatigue and related symptoms persisted for more than 6 months without any other medical explanation?,"Do you feel muscle or joint pain without any clear cause, such as injury or overuse?",Have you been having headaches that are different from the ones you've had before or more frequent?,"Do you wake up feeling unrefreshed, even after sleeping for a long time?",,,https://bestpractice.bmj.com/topics/en-gb/277?q=Myalgic%20encephalomyelitis%20(Chronic%20fatigue%20syndrome)&c=suggested,,,,,0.2-2.6%
C175,Nasal polyp,All,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
C176,Nephrolithiasis,All,FALSE,Pain in lower back,Blood in Urine,Pain during urination,,,,Lower Back,Genitals,,,,,"Have you experienced severe pain in your lower back, side, or abdomen that comes and goes?",Do you feel pain or a burning sensation when you urinate?,Have you had nausea or vomiting along with abdominal pain?,Do you feel like you’re unable to completely empty your bladder when you urinate?,,,,https://bestpractice.bmj.com/topics/en-gb/3000101?q=Nephrolithiasis&c=suggested,,Has a healthcare professional told you that your pain is related to tiny crystals or stones formed in your kidneys?,,,12%
C177,Non allergic rhinitis,All,FALSE,Nasal blockage ,Running nose,Sneezing ,Nasal discharge,Sore throat,,Nose,Sinuses ,Throat ,Ears ,Eyes,,Do you notice any discharge coming from the back of your nose (post-nasal drip)? ,Do you have a sore throat? ,DO you have runny nose?,Do you experience a feeling of ear plugging or fullness in your ears? ,Do you suffer from headaches that feel like pressure or pain in your sinuses? ,Do you notice that changes in your posture trigger these symptoms? ,Do you have symptoms that occur in both side of the nose?,,https://bestpractice.bmj.com/topics/en-gb/231,,,,17 - 52%
C178,Non hodgkin's lymphoma,All,FALSE,Lumps in neck,Painless lumps,Wight loss,Fatigue,Fever,,Neck,Body,Abdomen,,,,"Have you noticed swollen lymph nodes in your neck, armpit, or groin that don't hurt?",Have you been experiencing unexplained weight loss recently?,Do you have recurring fevers without any apparent infection?,"Have you had night sweats where you wake up drenched, even if your room is not warm?",Have you had persistent coughing or difficulty breathing that isn't related to a cold or flu?,"Have you noticed unusual bruising or bleeding, such as frequent nosebleeds or gum bleeding?",,,https://bestpractice.bmj.com/topics/en-gb/312?q=Non-Hodgkin%27s%20lymphoma&c=suggested,Do you have any known family history of lymphoma or other cancers?,,,3-4%
C179,Obsessive compulsive disorder,All,FALSE,Unwanted thoughts,Repetitive cleaning of hands,Repetitive cleaning,,,,Brain,Nervous system ,,,,,"Do you often have thoughts or images that keep popping into your mind, even when you don’t want them to? ","Do you ever feel like you want to stop certain behaviors, but find that you are unable to? ","Do you have strong fears, such as a fear of contamination, needing things to be exactly right, or a fear of causing harm to others? ","Do you engage in repetitive actions, such as cleaning or hand washing, to reduce these fears or anxieties? ",,,,,https://bestpractice.bmj.com/topics/en-gb/362,Do you have a family history of obsessive-compulsive disorder (OCD)?,,,1 - 4%
C180,Obstructive sleep apnea,All,FALSE,Feeling sleepy during day,Loud snoring ,Gasping during sleep,Dry mouth,,,Throat,Head,,,,,"Do you often feel excessively tired or sleepy during the daytime, even after a full night's sleep?",Has anyone told you that you snore loudly while sleeping?,Have you ever been told that you stop breathing or gasp for air during sleep?,Do you frequently wake up with a dry mouth or sore throat?,,,,,https://bestpractice.bmj.com/topics/en-gb/215?q=Obstructive%20sleep%20apnoea%20in%20adults&c=suggested,"Do you have high blood pressure, or are you currently being treated for high blood pressure?",Has a sleep study (polysomnography) ever shown that you have frequent episodes of reduced or stopped breathing during sleep,,4-13%
C181,Oesophageal cancer,All,FALSE,Difficulty swallowing ,Painful swallowing ,Weight loss ,Hiccups,Food regurgitation ,Heart burn,Oesophagus ,Gastroesophageal junction ,,,,,Have you experienced unexplained weight loss? ,Do you experience a cough after eating a meal? ,Do you use tobacco products? ,Do you consume excessive amounts of alcohol? ,Do you regularly drink very hot beverages or eat very hot foods?,Have you been diagnosed with gastro-esophageal reflux disease (GERD)? ,Is your diet low in fresh fruits and vegetables? ,,https://bestpractice.bmj.com/topics/en-gb/1029,Have you been diagnosed with Barrett's oesophagus? ,Do you have any hereditary cancer syndromes? ,Is there a family history of oesophageal cancer or other types of cancer?,
C182,Oral candidiasis,All,FALSE,White patches in mouth,Sore mouth,,,,,Mouth,Tongue,,,,,Have you noticed white or creamy patches inside your mouth or on your tongue?,"Do you experience a burning sensation in your mouth, especially when eating or drinking and more sensitive to sour food?",Have you felt that your mouth is unusually dry or sore recently?,"When you try to scrape off the white patches in your mouth, do they leave a red, inflamed surface underneath?",,,,,https://bestpractice.bmj.com/topics/en-gb/106?q=Oral%20candidiasis&c=suggested,"Are you currently taking antibiotics, steroids, or medications that might affect your immune system?","Do you wear dentures, and if so, do they sometimes feel uncomfortable or cause irritation in your mouth?",,5-15%
C183,Osgood-Schlatter's disease,All,TRUE,Pain ,Swelling ,Warmth   ,Difficulty doing movements,,,Knee cap ,thighs muscle ,Tibia ,Patellar tendon,,,Is the area around your child's tibial tubercle warm to the touch? ,Is the bump below your child's kneecap more noticeable than usual? ,Does your child feel pain at the tibial tubercle when trying to extend their knee against resistance? ,Does your child feel pain when someone presses on the bump below their kneecap (tibial tubercle)? ,Is your child involved in sports or athletic activities? ,Does your child often feel unable to perform at their usual level in sports because of pain? ,,,https://bestpractice.bmj.com/topics/en-gb/588,Has your child had Osgood-Schlatter disease (OSD) in the other knee before?,,,"21% - Athletics
4% - Non athletics"
C184,Osteoarthritis,All,FALSE,Joint stiffness,Joint pain,,,,,Joints,,,,,,"Do you often feel stiffness in your joints, especially after resting or first thing in the morning?","Have you noticed pain in your joints when moving or after physical activity, like walking or climbing stairs?",Do your joints feel swollen or tender to the touch?,Do you hear or feel a grinding sensation when you move a joint?,Do you have bony bumps or growths around your finger joints? ,Do you experience joint pain that gets worse at the end of the day?,,,https://bestpractice.bmj.com/topics/en-gb/192,,,,22%
C185,Osteomalacia,All,FALSE,Bone pain ,Fractures,Tiredness ,Muscle weakness ,Muscle cramp,,Bones,Muscles ,Joints,,Spine,,Do you feel tenderness or pain in your bones or joints? ,Do you have any muscle weakness or difficulty with movement ?,Do you have a diet that lacks enough vitamin D and calcium? ,Do you get very little sunlight exposure? ,Have you had fractures or broken bones from mild injuries? ,"Do you have a history of coeliac disease, chronic alcoholism, or chronic pancreatitis? ",Have you been treated with anticonvulsant medications (for seizures) in the past? ,Do you have any inherited conditions that affect vitamin D or bone metabolism?,https://bestpractice.bmj.com/topics/en-gb/517,Have you been told that you have low calcium levels in your blood? ,Have you been told that you have low phosphate levels in your blood? ,Have you been informed that your alkaline phosphatase levels are higher than normal?,
C186,Osteoporosis,All,FALSE,Back pain ,Swelling ,Redness,Curve on upper back ,Fall,,Spine,Hip,Wrist ,Pelvis,Joint,,Have you noticed a loss of height over time? ,Do you have a hunched back (kyphosis)? ,Have you experienced any unexplained fractures?,Have you noticed any swelling or lumps around your bones or joints? ,"Does anyone in your family have a history of hip fractures, especially your mother? ",Have you gone through menopause and are you now postmenopausal? ,Have you taken glucocorticoid medications (like steroids) for a long time? , Do you smoke? ,https://bestpractice.bmj.com/topics/en-gb/85,Do you drink excessive amounts of alcohol? ,Do you have a vitamin D deficiency? ,Is your body mass index (BMI) less than 20 kg/m²?,30 to 40 % of post menopausal women 
C187,Osteosarcoma,All,FALSE,Swelling,Pain,,,,,Lower limb,Distal femur,Proximal tibia,Proximal humerus ,Joint,,Is the affected area tender or painful when you touch it? ,Does the area feel warm to the touch? ,Has the pain been getting worse over the past weeks or months? ,Are you having difficulty moving the affected limb or joint?,Have you had any history of trauma or injury in that area? ,Have you received any radiation therapy (radiotherapy) in the past? ,Have you been diagnosed with Paget's disease (a bone disorder)?,,https://bestpractice.bmj.com/topics/en-gb/780,"Is there any family history of cancer, particularly bone cancer?",,,
C188,Otitis externa,All,FALSE,Ear pain,Itching in ear canal,Discharge ,Hearing loss,Ear fullness,,Ear pinna ,Ear skin ,Outer ear canal,,,,Have you noticed any discharge coming from your ear? ,Do you have any itching inside your ear? ,Have you been swimming or bathing recently?,Is your hearing affected? ,Is the pain in your ear severe enough to affect your sleep or daily activities? ,Do you feel tenderness or pain when you touch the small flap of skin in front of your ear (the tragus)? ,Is your ear canal blocked or obstructed in any way? ,Have you been swimming or had your ears exposed to water recently? ,https://bestpractice.bmj.com/topics/en-gb/40,Have you experienced any local trauma or injury to your ear?,,,1 to 10 %
C189,Ovarian cysts,Female,FALSE,Discomfort in pelvis,Irregular periods,Pain in pelvis,pain in lower abdomen,Discomfort in lower abdomen,,Pelvis,lower abdomen,,,,,"Do you feel pain or discomfort in your pelvis, especially on one side, that comes and goes?","Have you noticed any changes in your menstrual cycle, such as irregular periods or missed periods?",Have you had difficulty emptying your bladder or experienced more frequent urination than usual?,Have you experienced any unexplained weight gain or loss?,,,,,https://bestpractice.bmj.com/topics/en-gb/660?q=Ovarian%20cysts&c=suggested,Do you have a family history of ovarian cysts or polycystic ovary syndrome (PCOS)?,,,7-10%
C190,Paget's disease of bone,All,FALSE,Bone pain,Hearing loss,Fractures,Joint stiffness,,,Bones,Hip,Back,Legs,,,"Do you experience bone pain, especially in your hips, back, or legs?",Have you noticed any changes in the shape of your bones or skeletal structure?,Have you ever had unexplained fractures or broken bones?,Do you experience pain in the bones at night or when you're resting?,Have you had any trouble walking or balancing that you can't explain?,,,,https://bestpractice.bmj.com/topics/en-gb/525?q=Paget%27s%20disease%20of%20bone&c=suggested,Has a doctor ever mentioned that you have high levels of alkaline phosphatase in your blood?,,,1.5-8.3%
C191,Pancreatic cancer,All,FALSE,Pain in upper abdomen,Yellowish discolouration of skin,Loss of apetite,Yellowish discolouration of eyes,,,Upper abdomen,skin,eyes,,,,". Have you noticed a persistent pain or discomfort in your abdomen that radiates to your back, especially if it worsens at night or after meals?",Do you have persistent nausea or vomiting or a feeling of fullness after eating only a small amount of food?,Have you noticed a yellowing of your skin or eyes (jaundice) without an obvious cause?,"Have you recently developed diabetes, or has your diabetes suddenly become harder to control?",,,,,https://bestpractice.bmj.com/topics/en-gb/265,,,,1-2%
C192,Panic disorder,All,FALSE,Intense fear,Difficulty breathing,Racing heart,Choking sensation,Chest pain,,Chest,Head,Body,,,,Do you ever experience sudden episodes of intense fear or discomfort that come out of nowhere and peak within minutes?,"During these episodes, do you notice symptoms like a racing heart, sweating, shaking, or difficulty breathing?","Have you ever felt a choking sensation, chest pain, or dizziness during these episodes?","Do you sometimes feel like you’re losing control, going crazy, or that something terrible is about to happen during these episodes?",Have you ever avoided certain places or situations because you’re afraid they might trigger one of these episodes?,"Do you worry frequently about having more of these episodes, even when you're not having one?","Do these episodes interfere with your daily activities, work, or relationships?","Have you had atleast two panic attacks where the fear and physical symptoms peaked within 10 minutes, and since then, have you spent one month worrying about having another attack or changing your behavior to avoid future attacks?",https://bestpractice.bmj.com/topics/en-gb/121?q=Panic%20disorders&c=suggested,,,,1-2%
C193,Paraphimosis,Male,FALSE,Difficulty in urination ,Foreskin stuck ,Difficulty in sexual activity ,Swelling of penis,Redness ,Pain around penis,Penis ,Foreskin ,Glans penis,,,,Is there any discharge or unusual odor?,Have you experienced pain during erections or sexual activitiy ?,Do you have a tight foreskin or difficulty pulling back your foreskin? ,Is there a tight band of foreskin pulled back beneath the head of your penis? ,Is the head of your penis swollen? ,Have you noticed any redness or inflammation in the area? ,Have you had a urinary catheter inserted recently?,Have you had issues with poor hygiene recently? ,https://bestpractice.bmj.com/topics/en-gb/765,Do you have any history of phimosis or any previous penile conditions?,,,
C194,Parasomnias in adults,All,FALSE,Activities during sleeping,Vivid dreams,Movements during sleep,Abnormal sleep,,,,,,,,,"Do you find yourself waking up and performing routine activities, such as eating or getting dressed, without realizing it until much later?",Do you frequently have vivid or intense dreams that cause you to wake up feeling confused or frightened?,Have you ever woken up feeling paralyzed or unable to move even though you are awake?,"Have you noticed that you have violent or aggressive behaviors during sleep, such as hitting or shouting, that disturb others?","Do you often wake up feeling tired or unrested, despite thinking you slept through the night?",,,,https://bestpractice.bmj.com/topics/en-gb/573?q=Parasomnias%20in%20adults&c=suggested,,,,2-4%
C195,Patellofemoral pain syndrome,All,FALSE,Pain,Difficuty squatting,Difficulty descending stairs,,,,Knee ,,,,,,Does your pain get worse when pressure is applied to the affected area? ,Do you feel pain when someone presses on the area around your kneecap? ,Have you noticed that your legs are less flexible than usual? ,Do you have weakness in your front thigh muscle or difficulty moving your hip outward and rotating it?,,,,,https://bestpractice.bmj.com/topics/en-gb/827,,,,
C196,Pelvic inflammatory disease,Female,FALSE,lower abdominal pain ,Vaginal discharge ,Painful intercourse,,,,Lower abdomen,Vagina,,,,,Have you experienced lower abdominal pain or discomfort that lasts for several days?,Have you noticed unusual or abnormal vaginal discharge with an unpleasant smell?,"Have you ever experienced severe pelvic pain that worsens during menstruation, along with tenderness in your lower abdomen during a physical exam?",Have you had pain during sexual intercourse recently?,,,,,https://bestpractice.bmj.com/patient-leaflets/en-gb/html/1589835700219/Pelvic%20inflammatory%20disease,,,,1-5%
C197,Peptic ulcer disease,All,FALSE,Abdominal pain,Indigestion,Burning stomach pain ,Nausea ,Vomiting ,Gas/bloating,Stomach ,Duodenum ,Oesophagus ,,,,Do you feel tenderness or pain in the upper part of your stomach (epigastric area)? ,Do you feel full after eating just a small amount of food? ,Have you noticed any weight loss or loss of appetite (anorexia)? ,Have your stools been black in color? ,Have you taken nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen or aspirin for a long time?,,,,https://bestpractice.bmj.com/topics/en-gb/3000205,Is there a family history of peptic ulcers or gastrointestinal issues  ?,Have you been diagnosed with H. pylori infection before?,,5 to 10 %
C198,Pertussis,All,FALSE,Cough,Whooping sound,,,,,Chest,,,,,,Have you had a cough that lasts longer than two weeks?,Do you sometimes feel like you can't breathe or gasp for air after a coughing fit?,"Have you noticed a high-pitched ""whoop"" sound when inhaling after a coughing fit?",Have you vomited after coughing?,,,,,https://bestpractice.bmj.com/topics/en-gb/682?q=Pertussis&c=suggested,Have you recently been in close contact with someone diagnosed with whooping cough?,,,"1/100,000"
C199,Personality disorder,All,FALSE,Unstable relationships,Mood swings,Anger issues,Trust issues,Self harm,,,,,,,,Do you often feel like your thoughts or behaviors are very different from those around you?,Do you frequently struggle with keeping relationships or find it hard to trust others?,"Do you sometimes have intense and unpredictable mood swings, from very happy to very sad or angry in a short time?","Have you ever felt like you don’t really know who you are, or that your identity changes depending on the situation?","Do you find it hard to control your emotions, especially when you're angry or upset?",Do you feel like you sometimes hurt yourself or take dangerous risks without fully thinking them through?,,,https://bestpractice.bmj.com/topics/en-gb/489?q=Personality%20disorders&c=suggested,Have others told you that you often manipulate situations or people to get what you want?,,,1-10%
C200,Pilonidal disease,All,FALSE,Painfull lump near anus,Discharge from swelling,Itching ,Foul odor,Pain,Breaking down of skin ,Skin ,Saccrococcygeal region,Anus,Lower back ,,,Have you noticed any swelling or lumps in the lower back area ?,"Has your skin become soft, white, or wrinkled due to prolonged exposure to moisture (such as from sweating or being wet)? ",Is there any fluid or discharge coming from a swollen area on your body?,Do you have fever?,Do you spend a lot of time sitting each day? ,Have you noticed any increase in your body weight recently?,Does anyone in your family have history of similar condition?,,https://bestpractice.bmj.com/topics/en-gb/1146/investigations,,,,0.1 to 0.5 %
C201,Pityriasis rosea,All,FALSE,Patches on skin,Itching,,,,,skin,,,,,,"Have you noticed a large, round or oval patch of skin that appeared first, followed by smaller patches?""",Are the patches on your skin pink or red in color?,"Do the patches seem to form a pattern, like a Christmas tree, on your back or chest?","Have you recently experienced any itching, especially around the areas of the rash?",Did this rash appear without any other symptoms like fever or general illness?,,,,https://bestpractice.bmj.com/topics/en-gb/279?q=Pityriasis%20rosea&c=suggested,,,,0.15%
C202,Pityriasis versicolor,All,FALSE,Discoloration ,Itching,Scaling ,Redness,skin lesions ,Skin dryness,Chest,Neck ,Back,Upper arms,Groin area ,,"Have you noticed patches of depigmented skin with white flakes over it located on your chest, back, neck, or upper arms? ","Do you experience any itching ,burning or discomfort in the affected areas?",Have you noticed any changes in the lesion after sun exposure?,Have you been exposed to high heat and humidity recently? ,Do you have greasy or oily skin?, Do you sweat excessively? ,Do you participate in sports or physical activities often? ,Are you taking corticosteroids or other medications that weaken the immune system?,https://bestpractice.bmj.com/topics/en-gb/861,Is there any family history of skin conditions particularly fungal infections ?,,,8 to 15 %
C203,Plantar fascitis,All,FALSE,foot pain ,Heel pain,,,,,foot,heel,,,,,"Do you feel pain in the bottom of your foot, especially near the heel, when you first stand up in the morning or after sitting for a long time?",Does the pain in your heel get worse after standing or walking for a long time?,"Does the pain tend to increase after exercising or being on your feet for a while, rather than during the activity?","Do you experience stiffness or tightness in the arch of your foot, particularly after periods of inactivity?","Does stretching your calf muscles or arch of your foot help relieve the pain, even temporarily?",,,,https://bestpractice.bmj.com/topics/en-gb/487?q=Plantar%20fasciitis&c=suggested,"When you press on the bottom of your foot near the heel, does it feel tender or painful?",,,4-7%
C204,Polycystic ovary syndrome,All,FALSE,Irregular menstruation ,Weight gain ,Excessive body hairs,Thinning of hairs,Darkening of skin,Mood swings ,genitals,skin,hairs,,,,Have you noticed any changes in your menstrual Cycle frequency or flow ?,Have you experienced any significant Weight gain recently?,"Have you noticed any changes in your skin , such as acne or darkening in areas?",Have you had any difficulties with fertility ?,Have you experienced any mood changes ?,How often do you exercise  ?,,,https://bestpractice.bmj.com/topics/en-gb/141,Have you received any previous treatments for pcos ?,,,5 to 20 %
C205,Polymyalgia rheumatica,All,FALSE,Aching pain in joints,stiffness,fever,,,,Shoulder ,Hips,Neck,,,,"Do you have aching or pain in your shoulders, hips, or neck that started suddenly over the last few weeks?","Do you feel stiffness in your shoulders, hips, or neck, especially in the morning or after resting?",Does the pain make it difficult for you to lift your arms above shoulder level or to stand up from a sitting position?,Do you have a low-grade fever that comes and goes?,,,,,https://bestpractice.bmj.com/topics/en-gb/153?q=Polymyalgia%20rheumatica&c=suggested,Has your doctor ever mentioned that your blood tests show elevated inflammation markers like ESR (erythrocyte sedimentation rate) or CRP (C-reactive protein)?,,,0.5-0.7%
C206,Post traumatic stress disorder,All,FALSE,Night mares,Anxiety,Depression,Irritability ,Crying episodes ,Poor work performance ,Nervous system ,,,,,,Have you been having disturbing dreams or nightmares? ,Do you have persistent negative or distorted beliefs about yourself or others? ,Do you feel that you are blaming yourself or others in an unrealistic or distorted way? ,Have you lost interest in activities that were once important to you? ,Have you directly experienced a traumatic event yourself? ,Did you witness a traumatic event in person as it happened to someone else? ,Are you experiencing any changes in your mood or behavior?,"Have you found out that a close family member or friend went through a traumatic event, like a violent or accidental death?",https://bestpractice.bmj.com/topics/en-gb/430,,,,0.5 to 2 %
C207,Postnatal dipression,Female,FALSE,Feeling sad,Feeling tearful,Loss of interest ,tired,,,,,,,,,Have you been feeling overwhelmed or unable to cope with everyday tasks since your baby was born?,Are you finding it difficult to bond with your baby?,Have you noticed a loss of interest in eating or significant changes in your appetite?,Do you ever have thoughts about harming yourself or feel that life is not worth living?,Do you feel more irritable or angry than usual?,"Have you been experiencing trouble sleeping, even when your baby is asleep?",,,https://bestpractice.bmj.com/topics/en-gb/512?q=Postnatal%20depression&c=suggested,Have you been avoiding social interactions or feeling disconnected from your family or friends?,"Do you often feel exhausted, even after resting?",,22%
C208,Pre eclampsia,All,FALSE,Headache ,Visual disturbance,abdominal pain,swelling of face,swelling of feet,seizures,head,Face ,Abdomen ,Leg,,,Have you noticed a decrease in your baby’s movements? ,Are you experiencing swelling in your leg? ,Have you noticed any changes in your vision?,Have you had any seizures or fits? ,,Is this your first pregnancy? ,Are you having difficulty breathing? ,Did you have high blood pressure in a previous pregnancy? ,https://bestpractice.bmj.com/topics/en-gb/326,Has your blood pressure been measured at or above 140/90?,Does anyone in your family have a history of raised blood pressure in pregnancy? ,,5 to 15 %
C209,Precocious puberty in boys,All,FALSE,Voice Deepening,Pubic hair,Acne,Enlarged testes,,,Pubis,Testes,Body,,,,Have you noticed any signs of pubic hair growth in your son before the age of 9?,Has your son’s voice deepened before the age of 9?,Has your doctor mentioned that your son's bone age is older than his actual age?,"Has your son experienced a sudden growth spurt, with an unusual increase in height for his age?",,,,,https://bestpractice.bmj.com/topics/en-gb/1127?q=Precocious%20puberty&c=suggested,,,,"1 in 5,000"
C210,Premature ovarian failure,Female,FALSE,Irregular menstruation ,Night sweating ,Irritability ,Vaginal dryness ,Sudden feelings of warmth or heat,Sleep disturbance ,Genitals ,Vagina,Uterus ,,,,When did your menstrual Cycles stop or become irregular ?,Have you tried to conceive  ?,Have you been diagnosed with any thyroid problems?,Do you have high blood sugar,,,,,https://bestpractice.bmj.com/topics/en-gb/1004,Is there any family history of premature ovarian failure or other autoimmune disorders?,,,
C211,Primary adrenal insufficiency,All,FALSE,Fatigue,Poor concentration,Low blood pressure,Dizziness,,,Body,,,,,,"Have you noticed your child feeling unusually tired or weak, even after a good night’s sleep?",Has your child experienced unexplained weight loss despite eating normally?,"Does your child feel dizzy or lightheaded, especially when standing up?",Have you noticed that your child’s blood pressure seems low when measured?,,,,,https://bestpractice.bmj.com/topics/en-gb/56,"Has your child had low levels of cortisol or aldosterone in a blood test, as advised by a doctor?",,,"4-6 per 100,000 people"
C212,Precocious puberty in girls,All,FALSE,Breast development before age 8	,Pubic hair growth before the age of 8	,Axillary hair growth before the age of 8	,Acne before the age of 8	,Rapid growth 	,Early periods ,Breast         ,Axilla	,Vagina 	,Genitals,,,Have you noticed any rapid growth in height or changes in your child?,Does your child have light brown spots on the skin that look like coffee with milk (café au lait spots)?,"Did your child experience physical changes, such as starting puberty, before the age of 10?",Have you noticed an unusual enlargement of your child's clitoris?,Has your child had any significant changes in their weight recently? ,Has your child experienced any significant changes in their appetite?,,,https://bestpractice.bmj.com/topics/en-gb/1127,Is there any family history of early physical changes in body other hormonal disorders?,"Did your child experience any delays in reaching developmental milestones (such as sitting up, walking, or talking)?",,0.01 to 0.02 %
C213,Prolactinoma,All,FALSE,Irregular periods,Milky discharge from breast,Decrease sexual desire,Low energy,,,Breast         ,Body,,,,,Do you feel decrease in sexual desire and discomfort?,Have you experienced unexplained breast enlargement or tenderness?,Do you feel less energetic or notice a decrease in muscle strength?,"Have you noticed milky discharge from your breasts, even if you’re not breastfeeding?",Have you experienced irregular or missed periods without pregnancy?,,,,https://bestpractice.bmj.com/topics/en-gb/363?q=Prolactinoma&c=suggested,Have you been diagnosed with high levels of prolactin in your blood without a clear reason like pregnancy or medication use?,,,"50/1,000,000"
C214,Psoriatic arthritis,All,FALSE,Joint pain ,Joint stiffness,Swollen fingers ,Swollen toes,lower back pain ,Red patches,Joints,Fingers ,Toes,Nail,Eye,Lower back ,Do you feel pain when touching your joints?,Do you notice any morning stiffness? ,"Have you experienced swelling of your fingers or toes, making them look like sausages (dactylitis)?",Is there any swelling in your toe?,,,,,https://bestpractice.bmj.com/topics/en-gb/524,"Do you or anyone in your family have a history of psoriasis (a skin condition that causes red, scaly patches)?",,,
